('한라수목원',)  33.28 , 126.29
('농산물원종장',) 33.38, 126.32
('제주대학교',) 33.45, 126.56
('용담동',) 33.50, 126.51
('만장굴',) 33.53, 126.77
('선덕사',) 33.32, 126.59
('성산',) 33.42, 126.87
('판포리',) 33.35, 126.20
('동광리',) 33.31, 126.34
('제주특별자치도 제주시 노형동',) 33.46, 126.45
('용담해안도로',) 33.51, 126.50
('연동',) 33.48, 126.48
('제주특별자치도 제주시 오등동',) 33.42, 126.53
('한라생태숲',) 33.43, 126.59
('무수천',) 33.46, 126.44
('제주특별자치도 서귀포시 성산읍',) 33.42, 126.87
('제주특별자치도 제주시 조천읍',) 33.53, 126.61
('제주특별자치도 제주시 영평동',)  33.44, 126.57
('서귀포시 안덕면 서광리',) 33.30, 126.31
('제주특별자치도 제주시 삼양동',) 33.51, 126.59
('한라수목원 자연생태학습관',) 33.46, 126.49
('첨단입구 교차로',) 33.45, 126.57
('제주시 아라일동',) 33.44, 126.55
('제주대 공과대학3호관',) 33.45, 126.56
('월정투명카약주차장',) 33.56, 126.77
('제주특별자치도 제주시 구좌읍 월정리',) 33.54, 126.77
('제주시 오등동',) 33.44, 126.54
('한라생태숲 목련총림',) 33.43, 126.59
('제주특별자치도 제주시 한림읍 협재리',) 33.38, 126.25
('섭지코지',) 33.42, 126.93
('한라산 어리목 주차장',) 33.39, 126.49
('안덕계곡',) 33.25, 126.35
('휘닉스',) 33.43, 126.92
